DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB02676,,experimental,HHKZCCWKTZRCCL-UHFFFAOYSA-N,OCC(CO)(CO)NCCCNC(CO)(CO)CO,C11H26N2O6,,,125132,46504824,40947,CHEMBL63859,B3P,111383,
DB02677,,experimental,KJSNEFAXFLDDDR-JKSUJKDBSA-N,CC(=O)N[C@H](CC1=CC=CC2=C1C=CC=C2)[B-](O)(O)OC[C@H](N)C(O)=O,C17H22BN2O6,,,17754157,46508778,,,SBD,16744192,
DB02678,,experimental,MSWZFWKMSRAUBD-VFUOTHLCSA-N,N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,C6H13NO5,,,449462,46507459,39610,,1GN,395989,
DB02679,420-04-2,experimental,XZMCDFZZKTWFGF-UHFFFAOYSA-N,NC#N,CH2N2,C01566,D00123,9864,46506862,16698,CHEMBL56279,CNN,9480,
DB02680,,experimental,WDCYWAQPCXBPJA-UHFFFAOYSA-N,[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,C6H4N2O4,,,7452,46507875,51397,CHEMBL114070,NIN,7172,
DB02681,,experimental,ONZDNYIINYVFKD-UHFFFAOYSA-N,[O-][V](=O)[O+]([V](=O)O[V](=O)(=O)O[V](=O)(=O)[O+]([V]([O-])=O)[V](=O)(=O)=O)[V](=O)(=O)=O,O19V7,,,,46508307,,,V7O,58829636,
DB02683,,experimental,FOBRXMROTNVGST-CXPJILFNSA-N,[H][C@@](O)([C@@]([H])(O)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC,C42H52N6O8,,,445308,46505774,,CHEMBL123850,BEJ,392983,851
DB02684,,experimental,FTSDEWPMACCNGN-YTMOPEAISA-N,[H][C@](N)(CS)C(O)=NS(=O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,C13H19N7O7S2,,,447377,46504849,,CHEMBL1163074,5CA,394497,50339905
DB02685,,experimental,JZRBSTONIYRNRI-VIFPVBQESA-N,CC1=CC=CC(C[C@H](N)C(O)=O)=C1,C10H13NO2,,,2761494,46505706,,CHEMBL1231013,APD,2042224,
DB02686,,experimental,UYEMNFYVTFDKRG-ZNGNCRBCSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@]([H])(OCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O,C23H44O11,,,447793,46508014,,,UMQ,394785,
DB02688,1948-56-7,experimental,UQBOJOOOTLPNST-UHFFFAOYSA-N,NC(=C)C(O)=O,C3H5NO2,C02218,,123991,46509183,17123,,DHA,110510,
DB02689,,experimental,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,C5H12N2O4S2,,,448254,46507249,,,SDC,395112,
DB02690,90417-38-2,experimental,YJDAOHJWLUNFLX-UHFFFAOYSA-N,CC1=NC2=C(C=CC=C2O)C(=O)N1,C9H8N2O2,,,63306,46508590,75399,CHEMBL123904,NU1,56978,50068774
DB02691,475-31-0,experimental; investigational,RFDAIACWWDREDC-FRVQLJSFSA-M,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC([O-])=O,C26H42NO6,C01921,,5460316,46507924,29746,,GCH,4573891,50420252
DB02693,,experimental,YPGMOWHXEQDBBV-QWWZWVQMSA-N,[H][C@@]1(O)CSSC[C@@]1([H])O,C4H8O2S2,,,445528,46506792,41837,,D1D,393143,
DB02694,,experimental,GDPVENOGSVMRJL-FSRKKXLISA-N,[H][C@](O)(C(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(C)(C)CO,C16H24N5O10P,,,447261,46507479,,,PAJ,394407,
DB02695,,experimental,RYIWDDCNJPSPRA-UVOCVTCTSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OCCCCC)[C@@]1([H])O,C11H22O6,,,447084,46507725,,,OPM,394276,
DB02696,,experimental,MLWJBKPFDKRHBM-FMKGYKFTSA-N,[H][C@]1(COP(O)(=O)OP(O)(=O)OCCCCCCN)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(O)[C@]1([H])O,C15H27N3O12P2,,,448803,46507992,,,UDH,395494,
DB02697,,experimental,USSBBYRBOWZYSB-SCSAIBSYSA-N,CC(C)[C@@H](N)C(=O)NO,C5H12N2O2,,,444599,46508565,,,HAV,392482,
DB02698,,experimental,NQOOJFXBGLOGTC-UHFFFAOYSA-N,OC(=O)C1=CC=CC2=C1OC1=C(C=CC=C1C(O)=O)N2C1=CC(=CC=C1)C(F)(F)F,C21H12F3NO5,,,4310,46507329,,,BPD,4159,
DB02699,62702-55-0,experimental,PLIUCYCUYQIBDZ-RMWYGNQTSA-N,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)C(=O)CCC1(C)C,C20H28O2,C16683,,5289090,46506951,44597,,OXR,4451124,
DB02700,,experimental,SNDZDGQLFKEBLF-MOJAZDJTSA-N,[H][C@@]1(N)C[C@]([H])(O)[C@@]([H])(CO)O[C@]1([H])O,C6H13NO4,,,5288374,46506351,,,GCN,4450567,
DB02701,98-92-0,approved; investigational,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(=O)C1=CC=CN=C1,C6H6N2O,C00153,D00036,936,46507386,17154,CHEMBL1140,NCA,911,27507
DB02702,183854-11-7,experimental,JDALSSGOBMTZEP-NWJWHWDBSA-N,[H][C@]1(CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)[C@]([H])(CC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O,C41H38N6O5S2,C06488,,441046,46507591,,CHEMBL57375,XV6,389865,154
DB02703,6/3/90,approved; investigational,IECPWNUMDGFDKC-MZJAQBGESA-N,O[C@@H]1CC[C@@]2(C)[C@@]([H])(CC[C@@]3(C)[C@@]2([H])[C@H](O)C[C@@]2([H])\C([C@@H](OC(=O)C)C[C@]32C)=C(/CCC=C(C)C)C(O)=O)[C@@H]1C,C31H48O6,C06694,D04281,3000226,46505364,29013,CHEMBL374975,FUA,2271900,58924
DB02704,,experimental,GQKBYZPVKVXMJL-LAFNQVRVSA-N,[H][C@](CCC1=CC=CC=C1)(C(O)=N[C@@]1([H])C2=CC=CC=C2C[C@@]1([H])O)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(CCC1=CC=CC=C1)C(O)=N[C@@]1([H])C2=CC=CC=C2C[C@@]1([H])O,C40H44N2O6,,,449129,46507613,,,BLL,395746,585
DB02705,,experimental,DARQQJKHXPXSRO-QFIPXVFZSA-N,[H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C,C24H26N4O,,,447736,46505769,,,303,394749,
DB02706,,experimental,DUKDFMPUZRDWLT-CQSZACIVSA-N,[H][C@](CS)(CCC1=CC=CC=C1)C(=O)N=C(C(O)=O)C1=CC=C(CN2C=NN=N2)S1,C19H19N5O3S2,,,5288784,46505544,,,MCI,25059190,
DB02707,,experimental,VFFCVKZHJFIUBM-UHFFFAOYSA-N,CCCCCO[P@](O)(=O)OP(O)(O)=O,C5H14O7P2,,,448673,46507221,,,P25,395401,
DB02709,501-36-0,approved; experimental; investigational,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,C14H12O3,C03582,,445154,46504705,45713,CHEMBL165,STL,392875,23926
DB02710,127658-43-9,experimental,VDTYHTVHFIIEIL-LURJTMIESA-N,[H][C@@](CO)(NC(=O)C1=C(O)C(O)=CC=C1)C(O)=O,C10H11NO6,C04204,,151483,46508900,17455,,DBS,133509,
DB02711,,experimental,VBXZSBKAJFXURR-QXFUBDJGSA-N,OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCCOP(O)(O)=O)C2=C1NC(=O)NC2=O,C14H23N4O11P,,,657028,46506696,,,TS0,571250,
DB02712,68367-52-2,experimental; investigational,LXANPKRCLVQAOG-NSHDSACASA-N,FC1=CC=C2OCC[C@]3(NC(=O)NC3=O)C2=C1,C11H9FN2O3,,,337359,46504981,102029,CHEMBL266497,SBI,298991,16312
DB02713,543-24-8,experimental,OKJIRPAQVSHGFK-UHFFFAOYSA-N,CC(=O)NCC(O)=O,C4H7NO3,,,10972,46504798,40410,CHEMBL289004,AAC,10507,82197
DB02714,84-53-7,experimental,FOGRQMPFHUHIGU-XVFCMESISA-N,[H][C@]1(CO)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(O)[C@]1([H])OP(O)(O)=O,C9H13N2O9P,C01368,,101543,46507236,28895,CHEMBL460741,U3P,91753,50292722
DB02715,31112-66-0,experimental,UZOOIPXOYYJULJ-RHLLTPQKSA-N,[H][C@](C)(COC1=CC=C(C=C1)[C@]1([H])OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)N1CCCC1,C27H29NO4S,,,449208,46505605,,CHEMBL180300,AIJ,395804,50157156
DB02716,,experimental,DKVRNHPCAOHRSI-KQYNXXCUSA-O,[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=[N+](C)C3=C2NC(=N)N=C3O)[C@]([H])(O)[C@]1([H])O,C11H19N5O14P3,,,444378,46507684,50226,CHEMBL1234303,MGP,392325,
DB02717,38819-01-1,experimental,LUEWUZLMQUOBSB-HGDSAIHNSA-N,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O[C@]4([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,C24H42O21,C02013,,5288428,46508464,,,CTT,4450617,
DB02719,,experimental,DTZYCNDAJQDPQC-UHKLXPPTSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@@](O)(O[C@]1([H])CO)C(O)=N,C7H13NO7,,,447771,46507973,,,CBF,394771,
DB02720,,experimental,UKWLGCFJAVEFPE-DVKNGEFBSA-N,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(C(O)=N)[C@]1([H])O,C7H13NO6,,,445825,46508481,,CHEMBL135302,GLG,393347,50306562
DB02721,3469-69-0,experimental,LLNQWPTUJJYTTE-UHFFFAOYSA-N,IC1=CNN=C1,C3H3IN2,,,77022,46504835,45260,,PYZ,69468,
DB02722,,experimental,WGLLPAPKWFDHHV-RLZVPWTLSA-N,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1C(O)=O,C7H12O7,,,446874,46507531,,,GCW,394117,
DB02723,,experimental,DHTSUHWLPAEEQB-OALUTQOASA-N,O\N=C(/N)N1CCC(CC1)CNC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)S(=O)(=O)CC1=CC=CC=C1,C22H32N6O5S,,,5326608,46504445,,CHEMBL18136,BLI,4483986,50107064
DB02724,,experimental,RQZRKFJHRUDTLB-OOXACHQASA-N,O1N2C(=[O+][Fe-3]1134ON(C(=[O+]1)C)CCC[C@](C(=O)N[C@@](C(=O)N[C@@](C(O)=O)([C@@]([C@]1(S[C@@](N5C=C\C(=N\C(N)=O)N(C5=O)C)([C@@]([C@]1([H])O)([H])O)[H])[H])([H])O)[H])([H])CO)([H])NC([C@@]([H])(CCCN(O3)C(=[O+]4)C)NC([C@]([H])(N)CCC2)=O)=O)C,C37H57FeN12O18S,,,131704215,46508915,,,ALB,,
DB02725,,experimental,LAJWZJCOWPUSOA-SMOXQLQSSA-N,[H][C@](N)(CC[C@@]1([H])C=CC([H])(N)C=C1)C(O)=O,C10H16N2O2,,,99594,46505792,,,ACZ,26329193,
DB02726,13147-57-4,experimental,ASCFNMCAHFUBCO-UHFFFAOYSA-N,OC(=O)COP(O)(O)=O,C2H5O6P,C00988,,529,46506266,17150,CHEMBL47181,PGA,514,
DB02727,,experimental,ULDDTFAPYWLDGF-UHFFFAOYSA-N,CCCCNC(=N)NO,C5H13N3O,,,447030,46505170,,CHEMBL308745,BHH,394240,
DB02728,,experimental,IETDBZQIWIJQJG-UHFFFAOYSA-N,CCOC(=O)C1=CC2=CC=C(O)C=C2OC1=O,C12H10O5,,,5289613,46504817,,CHEMBL155103,YZ9,4451547,50095995
DB02729,183854-21-9,experimental,UWSVAGUSMAEUKO-QHQGJXSCSA-N,[H][C@]1(CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(O)=NC2=NC3=CC=CC=C3N2)C(=O)N(CC2=CC(=CC=C2)C(O)=NC2=NC3=CC=CC=C3N2)[C@]([H])(CC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O,C49H44N8O5,,,444672,46506826,,CHEMBL11266,146,392533,155
DB02730,,experimental,UYUQSQYXZFSOEM-GKHCUFPYSA-N,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O,C7H14O5S,,,5288724,46504645,,,MA2,4450823,
DB02731,148-61-8,experimental,HXQVQGWHFRNKMS-UHFFFAOYSA-M,CC[Hg]SC1=CC=CC=C1C(O)=O,C9H10HgO2S,,,67361,46506518,33214,,EMT,60691,50366032
DB02732,,experimental,SGHBFOOIAAJJMI-YDKVLQLQSA-N,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=C(CC(C)=O)C(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,C24H31N7O15P2,,,131704217,46507420,,,NAE,4450943,
DB02733,,experimental,ZKDXRFMOHZVXSG-HNNXBMFYSA-N,[H][C@@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC=C(C(O)=O)C(Cl)=C2)=N1)C(C)C,C20H25ClN6O3,,,448991,46505031,49840,CHEMBL23254,PVB,395631,7478
DB02734,,experimental,IAKKJSVSFCTLRY-NVFHJIOMSA-N,[H][C@@]1(O)OC(=C[C@]([H])(O)[C@]1([H])O)C(O)=O,C6H8O6,,,446144,46507426,,,MAW,393579,
DB02735,,experimental,MNJOBAOHZQQXIK-GPKNORDASA-N,[H][C@@](N)(C(O)=O)[C@@]([H])(O)OS(O)(=O)=O,C3H7NO7S,,,131704218,46505449,,,ALS,59053651,
DB02736,60-35-5,experimental,DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,C2H5NO,C06244,,178,46506510,49028,CHEMBL16081,ACM,173,
DB02738,,experimental,WYJWVZZCMBUPSP-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,C10H18N5O19P5,,,193491,46506020,40096,,5FA,167906,
DB02740,133-32-4,experimental,JTEDVYBZBROSJT-UHFFFAOYSA-N,OC(=O)CCCC1=CNC2=C1C=CC=C2,C12H13NO2,C11284,,8617,46505244,33070,CHEMBL582878,3IB,8298,50129081
DB02741,,experimental,RWYREGSYPCNZTL-UHFFFAOYSA-N,CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O,C26H26O3,,,2605,46504721,,CHEMBL309282,564,2506,31886
DB02742,109944-15-2,experimental,OIURYJWYVIAOCW-PQMKYFCFSA-N,[H][C@]12NC(=O)C(=O)N1[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O,C8H12N2O6,,,130611,46505714,,CHEMBL1233851,KIF,115533,
DB02743,,experimental,GUBGYTABKSRVRQ-WWZHPTPQSA-N,[H][C@@]1(O)O[C@]([H])(CO)[C@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O,C12H22O11,,,448925,46505757,41034,,B2G,395581,
DB02744,,experimental,PQJGWYQPOHCEDO-ZDUSSCGKSA-N,NC(=N)C1=CC=C(O)C(CN2CC[C@H](NS(=O)(=O)C3=CC4=C(S3)C=CC=N4)C2=O)=C1,C19H19N5O4S2,,,5326514,46508171,,CHEMBL330572,PR1,16744161,14059
DB02745,58-96-8,experimental; investigational,DRTQHJPVMGBUCF-XVFCMESISA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,C9H12N2O6,C00299,,6029,46507015,16704,CHEMBL100259,URI,5807,
DB02746,88-99-3,experimental,XNGIFLGASWRNHJ-UHFFFAOYSA-N,OC(=O)C1=CC=CC=C1C(O)=O,C8H6O4,C01606,,1017,46506083,29069,CHEMBL1045,PHT,992,50080272
DB02747,,experimental,HDGWGGCPTVXRNA-QMMLZNLJSA-O,[H][C@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=N[C@@]([H])(CCCNC(N)=[NH2+])C(O)=NC1=CC=CC=C1)C(O)=O,C25H35N6O4,,,5288637,46507423,,,INH,4450760,
DB02749,89-05-4,experimental,CYIDZMCFTVVTJO-UHFFFAOYSA-N,OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O,C10H6O8,,,6961,46506312,45165,CHEMBL1235346,PMA,6695,
DB02750,,experimental,OMYFBIZVJYGJJA-YBBRRFGFSA-M,C[Hg]SC[C@@H](N)C(O)=O,C4H9HgNO2S,,,46936479,46505119,,,CMH,26329810,
DB02751,352-97-6,experimental,BPMFZUMJYQTVII-UHFFFAOYSA-N,NC(=N)NCC(O)=O,C3H7N3O2,C00581,,763,46506215,57742,CHEMBL281593,NMG,743,50021601
DB02752,,experimental,CGPHGPCHVUSFFA-LLVKDONJSA-N,[H][C@@]1(CCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(O)=O,C12H15NO4S,,,445504,46508783,,CHEMBL334226,TPR,393127,50149243
DB02753,40093-99-0,experimental,MXLAAGNIPFEHEI-KQYNXXCUSA-N,[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C2N=CN=C3[SeH])[C@]([H])(O)[C@]1([H])O,C10H12N4O4Se,,,6337677,46506447,,,SNI,10574819,
DB02754,,experimental,TUOSCZDRWRYPRS-UHFFFAOYSA-N,CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2)=NC2=C(N)N=CN=C12,C19H25N5O3,,,448965,46505689,,CHEMBL113690,PU3,395615,15374
DB02755,,experimental,HDQMHAJOIVYOIP-NAVBLJQLSA-N,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O[C@@]3([H])O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]3([H])O)[C@]2([H])O)[C@]1([H])O,C18H33O19P,,,444727,46504702,,,P3M,392572,
DB02756,57369-32-1,experimental,XRJLAOUDSILTFT-UHFFFAOYSA-N,O=C1CCC2=CC=CC3=C2N1CC3,C11H11NO,C18487,,91665,46507815,45141,CHEMBL144366,PYQ,82768,
DB02757,288-13-1,experimental,WTKZEGDFNFYCGP-UHFFFAOYSA-N,N1C=CC=N1,C3H4N2,C00481,,1048,46505905,17241,CHEMBL15967,PZO,1019,50390969
DB02758,,experimental,GOLXRNDWAUTYKT-UHFFFAOYSA-N,OC(=O)CCC1=CNC2=CC=CC=C12,C11H11NO2,,,3744,46507621,43580,CHEMBL207225,IOP,3613,31879
DB02759,,experimental,UPSFMJHZUCSEHU-JYGUBCOQSA-N,[H][C@]1(CO)O[C@@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@@]([H])(OC3=CC4=C(C=C3)C(C)=CC(=O)O4)[C@]([H])(N=C(C)O)[C@@]2([H])O)[C@]([H])(N=C(C)O)[C@@]([H])(O)[C@]1([H])O,C26H34N2O13,,,171284,46507800,,,GUM,149747,
DB02760,,experimental,WOYYTQHMNDWRCW-FBXFSONDSA-N,[H][C@](O)(COP(O)(O)=O)[C@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O,C6H16O12P2,,,5288174,46505890,,,F2P,4450395,
DB02761,5652-32-4,experimental,XBKONSCREBSMCS-REOHCLBHSA-N,N[C@@H](CSS)C(O)=O,C3H7NO2S2,C01962,,165331,46505635,58591,,CSS,144934,
DB02762,,experimental,NQLPTOOPFMPCHQ-UHFFFAOYSA-N,OP(O)(=O)OC1=CC=CC2=CC=C(N=C12)C#N,C10H7N2O4P,,,447532,46506208,,CHEMBL149603,772,394594,14684
DB02763,15139-21-6,experimental,GANZODCWZFAEGN-UHFFFAOYSA-N,OC(=O)C1=CC(S)=CC=C1[N+]([O-])=O,C7H5NO4S,,,123648,46504779,,,MNB,110231,
DB02765,14047-28-0,experimental,MJZYTEBKXLVLMY-RXMQYKEDSA-N,C[C@@H](O)CN1C=NC2=C1N=CN=C2N,C8H11N5O,,,445211,46508231,,,ARP,392914,
DB02766,,experimental,VLIGBVLLNSWVMI-MRXNPFEDSA-O,[H][C@](CC1=CC=CC=C1)([N-]C(=O)OCC1=CC=CC=C1)C(=[OH+])C[N+]#N,C18H18N3O3,,,131704219,46508107,,,ZFB,20119279,
DB02767,,experimental,ATRNZOYKSNPPBF-CYBMUJFWSA-N,[H][C@@](O)(CCCCCCCCCCC)CC(O)=O,C14H28O3,,,5288266,46505492,42539,CHEMBL1232858,FTT,4450466,
DB02768,,experimental,RUPAXCPQAAOIPB-UHFFFAOYSA-N,CC(C)(C)OC=O,C5H10O2,,,61207,46504604,,CHEMBL1236200,TBF,55151,
DB02770,,experimental,UDRQVOJQMHZSIM-PULFBKJNSA-N,[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=NC(=N)NC=C23)[C@]([H])(O)[C@]1([H])O,C10H14N5O7P,,,446858,46506157,,,7RA,394106,
DB02772,57-50-1,approved; experimental; investigational,CZMRCDWAGMRECN-UGDNZRGBSA-N,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,C12H22O11,C00089,D00025,5988,46506134,17992,CHEMBL253582,SUC,5768,
DB02773,,experimental,QEJHPAGTOOIBFT-UHFFFAOYSA-N,CCCOC1=CC=C(CC(O)=O)C=C1Cl,C11H13ClO3,,,2084,46504580,,,34C,2000,
DB02774,,experimental,YPFDHNVEDLHUCE-UHFFFAOYSA-N,OCCCO,C3H8O2,C02457,,10442,46508942,16109,CHEMBL379652,PDO,13839553,
DB02776,15015-81-3,experimental,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCS(O)(=O)=O,C16H34O3S,,,14253,46504870,43043,CHEMBL1208309,HDS,13615,
DB02777,,experimental,IJFVSSZAOYLHEE-SSEXGKCCSA-O,[H][C@@](COC(=O)CCCCCCCCCCC)(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC,C32H65NO8P,,,445355,46508958,60273,,PLC,393013,
DB02778,,experimental,WSMBXSQDFPTODV-JGWLITMVSA-N,[H][C@]1(O)[C@]([H])(O)[C@]([H])(COP(O)(O)=O)O[C@]1([H])COP(O)(O)=O,C6H14O11P2,,,445555,46509175,,,AHG,393163,
DB02779,,experimental,VICYBMUVWHJEFT-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)C,C15H34N,,,8153,46506419,41378,CHEMBL1180004,CAT,7861,50060599
DB02780,,experimental,UGPZHAXXEJECMI-GSVOUGTGSA-N,[H][C@](N)(CS)CC(O)=O,C4H9NO2S,,,87087973,46507485,,,BCX,59053662,
DB02781,,experimental,POPNGBKQPJVYFV-JLHYYAGUSA-M,[H]\C(=C1/N=C(N(CC=O)C1=O)C(=O)CCSC)C1=CC=C([O-])C=C1,C16H15N2O4S,,,57484478,46506462,,,CRK,22376899,
DB02783,,experimental,QYKRUCBLHROXCK-UHFFFAOYSA-N,CC1=NC=C(COP(O)(O)=O)C(CNOCC(O)=O)=C1O,C10H15N2O8P,,,447742,46507288,,,IK2,394753,
DB02784,,experimental,IYAWTDCWUJJPHZ-ZDUSSCGKSA-N,[H][C@@](CO)(N=C(O)CCN=C(O)CBr)C(O)=NCCC1=CC=C(C=C1)N=C(O)C(O)=O,C18H23BrN4O7,,,49866981,46507801,,,FG1,25061011,
DB02785,,experimental,SQZXWXXIPWXBCL-CYTJBAGBSA-N,[H][C@@](O)(CN1CCN(C[C@@]1([H])C(O)=NC(C)(C)C)C(=O)C1=NC(Cl)=C(N=C1)N1CCN(C)CC1)C[C@@]([H])(CC1=CC=CC=C1)C(O)=N[C@@]1([H])[C@@]([H])(C)CC[C@@]1([H])O,C37H55ClN8O5,,,444756,46508413,,,3IN,392588,
DB02786,,experimental,DGZQZSSRYAJDAX-XAHCXIQSSA-N,[H][C@@]1(O)C[C@@](O)(C=C(F)[C@@]1([H])O)C(O)=O,C7H9FO5,,,448993,46507708,,CHEMBL365468,FA3,395633,50170813
DB02787,,experimental,OUBSZQOZVSSBQR-SLBCVNJHSA-N,[H][C@@](C)(O)N[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,C8H19NO6,,,49867319,46507932,,,MMN,25058768,
DB02788,,experimental,ROWKJAVDOGWPAT-VKHMYHEASA-N,C[C@H](O)C(C)=O,C4H8O2,C01769,,447765,46504833,15687,,HBS,,
DB02789,145-13-1,approved; experimental,ORNBQBCIOKFOEO-QGVNFLHTSA-N,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,C21H32O2,C01953,D00143,8955,46506718,16581,CHEMBL253363,PLO,8611,50375319
DB02790,,experimental,ZHUWBKDWWGKIEN-FMKGYKFTSA-N,[H][C@]1(COP(O)(=O)OP(O)(=O)OC2=CC=CC=C2)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(O)[C@]1([H])O,C15H18N2O12P2,,,449409,46505810,,CHEMBL1199734,UPP,395952,
DB02792,,experimental,ABWSMPORYONAHZ-LTAUCOGHSA-N,[H][C@](CC(C)C)(NC)C(O)=N[C@@]1([H])C(O)=N[C@@]([H])(CC(O)=N)C(O)=N[C@]2([H])C3=CC(OC4=C(Cl)C=C(C=C4)[C@@]1([H])O)=C(O)C(OC1=C(Cl)C=C(C=C1)[C@@]([H])(O[C@@]1([H])C[C@](C)(N)C(O)(O)[C@]([H])(C)O1)[C@]1([H])N=C(O)[C@]([H])(N=C2O)C2=CC(=C(O)C=C2)C2=C(C=C(O)C=C2O)[C@]([H])(N=C1O)C(O)=O)=C3,C60H65Cl2N9O20,,,446082,46504630,,,,393532,
