DrugBank ID,CAS Number,Drug Groups,InChIKey,SMILES,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID
DB05034,118812-69-4,investigational,IUCCYQIEZNQWRS-DWWHXVEHSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O,C145H234N52O44S3,,,16132416,175426934,,CHEMBL2103920,,17289074,
DB05035,,investigational,VPCSYAVXDAUHLT-UHFFFAOYSA-N,CC(C)C1=CC(OC2=C(Br)C=C(NC(=O)CC(O)=O)C=C2Br)=CC=C1O,C18H17Br2NO5,,,10299876,347827705,,CHEMBL2035874,64L,8475344,50385105
DB05036,,investigational,,,,,,,347909904,,,,,
DB05037,,investigational,,,,,,,347909905,,,,,
DB05038,209733-45-9,investigational,XUHBBTKJWIBQMY-MHZLTWQESA-N,CC1=CC(C)=C2C=CC=C(OCC3=C(Cl)C=CC(=C3Cl)S(=O)(=O)N3CCC[C@H]3C(=O)NCCCNC(=O)C3=CC=C(C=C3)C(N)=N)C2=N1,C34H36Cl2N6O5S,,,9831652,175426935,,CHEMBL2107725,,8007384,
DB05039,312753-06-3,approved,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1,C24H28N2O3,,D09318,6918554,175426936,68575,CHEMBL1095777,,5293751,50318159
DB05041,,investigational,,,,,,,347909907,,,,,
DB05042,,investigational,,,,,,,347909908,,,,,
DB05043,,investigational,,,,,,,347909909,,,,,
DB05044,,investigational,,,,,,,347909910,,,,,
